"lat","lon","n_test","n_pos","ref","year","source","id"
7.7163889,-9.2686111,26,4,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
8.966667,-10.516667,41,1,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
7.368273797,-9.182514379,9,1,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
7.721734525,-9.224964689,30,8,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
7.346378,-8.955102,73,3,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
8.638230041,-10.33170493,33,5,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
7.731118438,-8.588210029,6,0,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
7.731118438,-8.588210029,21,7,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
7.987612064,-8.397183631,11,1,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
8.362968589,-10.60763195,23,1,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
7.85623728,-8.566984874,51,16,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
8.825908303,-10.43176638,40,2,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
7.311970319,-9.012713136,29,4,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
8.009507861,-8.582145699,37,2,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
7.358889884,-9.264382835,12,0,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
7.731118438,-8.588210029,19,0,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
8.506855257,-10.20738617,26,1,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
8.09709105,-8.506341573,40,4,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
7.293202492,-9.109742417,53,10,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
7.624767423,-8.400215796,35,2,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
7.890644961,-8.333508165,36,15,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
8.506855257,-10.20738617,51,2,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
8.506855257,-10.20738617,32,2,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
7.590359741,-8.542727553,25,2,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
7.734246409,-8.32441167,47,1,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
8.478703517,-10.06790657,51,7,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
7.421449305,-9.412958922,8,2,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
8.600694388,-10.45299153,50,4,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
7.487136697,-9.26135067,49,3,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
7.731118438,-8.588210029,13,2,"Kerneis_Koivogui_2009",2000,"Basinski_pathogen",NA
9.84,-11.03,47,20,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
9.88,-10.75,130,33,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
9.72,-10.88,182,76,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
9.97,-10.7,61,20,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
8.56,-10.03,51,28,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
8.5,-10.6,112,32,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
8.7,-10.37,116,47,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
8.48,-10.44,83,31,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
8.75,-10.3,97,33,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
8.47,-10.43,80,24,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
9.88,-12.45,171,59,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
7.62,-8.55,109,28,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
7.71,-8.52,59,11,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
7.58,-8.5,190,63,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
11.57,-9.32,150,27,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
7.72,-9.27,138,42,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
7.66,-9.26,183,46,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
7.56,-9.26,120,31,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
11.1166667,-12.3,165,10,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
11.3166667,-12.2833333,111,8,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
12.0833333,-12.3,147,8,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
12.0833333,-12.3666667,29,1,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
11.6,-9.3833333,168,13,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
11.3,-9.35,100,5,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
11.3666667,-14.35,102,5,"Lukashevich_Clegg_1993",1990,"Basinski_pathogen",NA
