"Country","Mean_Cases","Lower_CI","Upper_CI","SD_Cases"
"Nigeria",1520814,1517206,1523733,1889
"Niger",163862,163189,164649,368
"Côte d'Ivoire",155241,154713,155739,295
"Ghana",144674,144087,145242,311
"Burkina Faso",135557,134905,136259,329
"Mali",110357,110014,110817,212
"Guinea",101035,100251,101934,430
"Benin",88387,87820,89123,326
"Sierra Leone",62124,61424,62944,426
"Togo",47418,46945,47836,249
"Liberia",30483,30196,30817,172
"Mauritania",4738,4701,4776,21
"Senegal",3397,3378,3415,9
"Guinea-Bissau",125,124,126,0
"Gambia",NA,NA,NA,NA
